candidate_30k_count,candidate_50k_count,candidate_60k_count,candidate_75k_count,error,page_count,status,token_count,wallet,x_max_realized_lot_multiple_from_seed,x_token_mints
0,0,0,0,,2,complete,102,9qFLRBy8SfFBfJitm7iE2Hf7J1x48sppdKivv5Gubro4,933.4844062451816,AzTfanTxWofndzi653Q75VS7B5vvgLfeJXUBo9Qzpump
0,0,0,0,,1,complete,2,GdebKUxpVXwwKMrZNtaYTWhHn6rzHMZGeduhjdSqg3x6,28.00130371147866,C7V47ci5u2Ak3VYb62a1obLTY74BLFxLB7d2NLKRpump
0,0,0,0,,5,complete,497,WPqP6oj1cXkyqrZD1QS58jw61j28NpxgGwAMDkyxc1U,59.83015142183787,CCgH8T82ABC7Krg4bR4Jj2yotiDQdzk3yg6GLLUApump
3,1,1,0,,1,complete,22,9DByz89oQGfEb1QmtKcZb2Ry7ic9L1NeQ7Rc4xj2EqgK,42.34082311252711,B75w4MrhD4sLJRkAVvtxc74hiK317CdUZBBBCLwFpump|CWoQEk7PtczueUu5C2P1mvb3AhBKC1QiuzzfiUfVpump|FVbMi3DznQjAGUUUsg3pkKmDcVT6rvq7UwbajKnWpump
0,0,0,0,,17,complete,1630,6pLjBnoxF6DP8dpbhtVs1dykZPmP1WVFV7GjhpWnBHBx,117.8538976785284,CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,1999,CVnRWFefzdHf3ALGK8aEc8PTvCsN6zG3JfcyPeWmQPUZ,243.3008137763861,CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump
0,0,0,0,,1,complete,7,GHoMgQYCUnptjCNqmLQ3yqoMrLb3DLxBnGgyzHiXi2aj,1374.9745461752548,CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,AowTUid5daQr9EqwazF7hDm3jBTQSisv6LaHGhQL8k92,10109.7402568626,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump
0,0,0,0,,1,complete,33,H8SBYDiAy8snjqXxq1K39EJbLi2LPwrpqRqC8snsyX3y,79.76137173008746,CqEQBrm77irTktBqr8uB2k3DM72YwtX2jix7C4SLpump
0,0,0,0,,1,complete,2,7kJsCmHF17P98HmXw1gmnyxPEWr2jyKAX9roHh498a7j,180.6944451780385,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump
0,0,0,0,,1,complete,2,BnLWTRVqVfeLgLRWCBHnJ6L9HUVisQ3qsML8J9dTUTaX,35.69977914144877,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump
0,0,0,0,,1,complete,2,PqT358ft1h1W96J2AASbGFLqeTkGoLFeSc9QRqBz741,157.6670981017294,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,EuJp5632VT6mnXYo2wBwExqbyB4pVGtg6PaQkqgmMW5y,99.80219819856308,DpxKNEi3XVeRByaGqYKvz2w6E2PhPgBAqdayLcQEpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,Bh7QsYwHmWmF1YbQd7pqk89sAfacagtTFSSLUoFGTFZ7,55.525826532628095,F1ppSHedBsGGwEKH78JVgoqr4xkQHswtsGGLpgM7bCP2
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,HhufXFD77fgsQyqMyYdA1quTtGk3CzvzTuo1zFdGQTPQ,215.5465826383236,F1ppSHedBsGGwEKH78JVgoqr4xkQHswtsGGLpgM7bCP2
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,52YXFG9ksGps7P9ZSDLK79f9Hpa5ihR24w6dkikW5aEB,5026.910904055302,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump
0,0,0,0,,3,complete,213,7wCEJhjJwEipPecWm9pU5JtPYMYzsiJwve37oohmPCEQ,95.08437429445752,GnFMf6JVRhAqPbA9r8yW16xycynKNkXfbaYbusLEpump
0,0,0,0,,1,complete,2,D1idTgERH2xe6qLUeCP6EecG4kBbLYr4omJAk2G44coX,571.5684625949565,GnFMf6JVRhAqPbA9r8yW16xycynKNkXfbaYbusLEpump
0,0,0,0,,2,complete,144,2iKBNpBkRnDXTdNCeSXkQFocrRWtLRYPPC7nS4yjLGs5,1884.3496381494977,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump
0,0,0,0,,2,complete,176,8jgFYHJFtbTZ52ei1T3ox6YeMSbLjLWLi7iYUXcndnKc,345.1697923865966,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump
0,0,0,0,,2,complete,148,BS1mHRNgU45wwrSoMEmEWgm28TnMjqiJDrLyDz3PuDkA,1779.0425229582795,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump
0,0,0,0,,2,complete,166,HBY9ggL9Ki6cJDnZ5wgmZ91UsNhEHFajGntoVGdyGi9b,924.389947735746,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump
2,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,XXXXXahGswEH6i3Czn19XbGxQrobJoY1TYJegPxp3ex,46.5278324857884,HaUXAdAWWUkb2WTmh8z1TdaEmZkYjnQnmC6tHUdTAHvi
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",4,incomplete_error,400,Act3pTw5yB8Xxk3mcTWqMQ3x9ctNCegnVAViMMnxMrkG,126.9966655959152,HkBWJJiaUW5Kod4HpHWZiGD9PQVipmMiPDgiRPcNpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,6E3qB4gz8vS8t3j61ibSVFndub8reDSC2jSTdhjUBiS,76.22899278782255,HrFjQfrfBzWc2MGaZqCyRZyarxoNZvanYnXKJMxQpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,51YaAjcGfcJDZTfJWuFAU6A4m5L7q3goGy2yJh5SxPLs,213.29321587020377,HxYvKPgKLCHT7ZLVZrjJNTW91wVSQFmwyjnm2Psdpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,i4Qop2qKCDxFXqL8fHqT27VAqn6AqmhnUeYng2rvzEc,663.0681813424225,HKbqQgxxetq95HuLksVBYDU6FSiguQLKGTVhUN9ppump|JAQiNZw9t6Xqev4JLWMqpNGzZMp7ZVsxzQxdvaJPpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,EC8egFiX38xDdR9Q2Xyps6yqnYe6nCLfcDNYUvU7kb1B,330.66129376839683,Tqj8yFmagrg7oorpQkVGYR52r96RFTamvWfth9bpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,2ttvFWjziexKN3iNC59WenoLYrXwU6roxTkHZT49tKwc,195.39423528463664,Y47Svo5kZJxdEgTvCwM2LDv8twbQHTKtfLr3CJyLFy9
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,9oUHuhjYrt1VZVjNQb7mpNE7aSabACZSkLEXWWZP4KRT,36.485204026661165,Y47Svo5kZJxdEgTvCwM2LDv8twbQHTKtfLr3CJyLFy9
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,2QBdmhhwCgxM6r4HRHoDRfDbWz3YwvejeRzSXS5RwV1W,142.5378041795698,fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,8CVUSzYyCAjQHVkHyVnncYorpYWX35mzR6osqR7ME9JN,80.49780101408419,fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,4v1m33zVsGqFFrQUa6dyhdWMaLbPmXijb1sLv79GyVWu,593.9286152893131,iNKezFtQnxqjX8JMrez3pT6VaV8VwhA1SZXTbbzpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,7yZgmw11tCMsTP12pN9UnDrsdgPzwmWPxEoeCFeakBsA,161.63890373621484,iNKezFtQnxqjX8JMrez3pT6VaV8VwhA1SZXTbbzpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,A594w9RNdzFcpM5qjuuXVwoPE2SUyNWvn9owzfHHbgwq,132.64274265194527,iNKezFtQnxqjX8JMrez3pT6VaV8VwhA1SZXTbbzpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,EZRRxRjg7EnXpzFx4eXdWtfEzwuQ2S8gnpBH6X1U59jJ,126.57686055430476,iNKezFtQnxqjX8JMrez3pT6VaV8VwhA1SZXTbbzpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,AdY23hiXFnaf4pSB8DWNTSHv861vfMc37k654rKMvXYF,51.25021174779451,2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,8P3wdYH5o5sHywZSo7BYzvTHAaKg7kCGnM1mC4yPvWWL,550.0657247860349,2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,4PbaHq4QzeGT4vsZ7F14oyLPhoaztaP2T6c85D8gQ2eb,1774.4041619475895,2fB8j65DyeiXMG6G9X7Zwfu39P6Jw27RVstKxCfApump|98uAmduqPmP6ruqvrnkmcAVeZAWF1oUVRn765Cybpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,8SbUUkfGmF4ff9hykYqRfjZEjWh1XXEtr7N274xcQEhS,1044.004337984961,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,8eajSdRqXmkjn3b58vxyrPbQo8AWQuTDQzXUwuwzaBZ1,120.86680731527736,33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump
