token_mint,token_symbol,token_name,token_source_class,token_corrected_ath_mc_usd,token_supply_used,wallet,query_sources,tier,avg_cost_usd,avg_sold_usd,avg_entry_market_cap_usd,direct_sale_price_multiple,history_bought_cost_usd,history_sold_income_usd,aggregate_sold_to_bought_multiple,direct_sale_income_minus_total_buys_usd,gmgn_realized_profit_usd,history_transfer_out_income_usd,is_suspicious,transfer_in,buy_tx_count,sell_tx_count,start_holding_at,end_holding_at,needs_exact_chain_verification,reason,api_status,api_pages,api_raw_item_count,parsed_target_swap_event_count,moralis_buy_event_count,moralis_sell_event_count,first_actual_buy_timestamp,first_actual_buy_transaction_hash,first_actual_buy_market_cap_usd,minimum_actual_buy_market_cap_usd,eligible_sub_50k_buy_count,fifo_allocation_count,passing_fifo_allocation_count,max_realized_lot_multiple,eligible_lots_matched_cost_usd,eligible_lots_matched_sale_income_usd,eligible_lots_realized_profit_usd,eligible_lots_aggregate_realized_multiple,passing_allocations_sale_income_usd,passing_allocations_realized_profit_usd,unmatched_sell_token_amount,remaining_bought_token_amount,strict_direct_swap_pass,transfer_contamination_signal,strict_clean_pass,cluster_trace_required,cluster_trace_priority,verification_rule
42cXQvAAr7hcPBPWAS4ocVtDyeJ4Fa6gRR2uG4gppump,TBB,The Bitcoin Bull,moralis_only,15262202.088814,999999023,GJFcrvtxJXr7esGAFDFWSMLsnt4eFFhWQhe7KvXVPCbJ,sniper_profit,A,3.06813935512337e-05,0.0010574443742256,30681.3635755122,34.4653306721516,22.53750675022,776.76262267218,34.4653306721516,754.22511592196,745.21857958481,0.0,False,False,1,5,1782777993.0,1782791145.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,6,6,1,5,2026-06-30T00:06:33Z,64oQUooUQ1XsSFr8Wt3FGahGtK3FQBK2xeu8rauW24J1zU7b4Vg2Yiu9owMAWeADu5qg9Dy8fZDi5H6z1tre6i4Q,31028.743585089906,31028.743585089906,1,5,5,40.19846626065595,22.792680523428636,775.6619559278229,752.8692754043942,34.03118624553697,775.6619559278229,752.8692754043942,0.0,0.0,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
4aWgifrcupQGzjuWzq8bEcS5yZFj92PW3TBN4CSVpump,clawpump,clawpump,intersection,10246452.1829826,999991332,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,all_profit,B,1.41554046143492e-05,0.0006154939903231,14155.281915302,43.4812007916235,7951.30739401446,1340.92802451083,0.168642458159805,-6610.37936950363,1242519.9662204962,1249229.8962966865,False,False,1,4,1770089972.0,1770119873.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,5,5,1,4,2026-02-03T03:39:32Z,KSa6rppBSCuDazE9Sw8XB59bYtyLuovusXkSTjSmGrgzA8AeM9GxAppJkXjjdVmiC32QqF9TYYPup1Vqco3WV9X,13170.936194626467,13170.936194626467,1,4,3,437.7146346120544,28.69472459418284,1348.1381564527755,1319.4434318585927,46.98209080306273,1324.4536695700986,1320.83728976761,0.0,559536682.315477,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
4xyyYHkzbhpqkR6scme8soyybBtBYDPg2N6yN5cfpump,Guardians,"Eyes Up, Guardians",intersection,11386289.0037968,998737532,44vty7sMdkPLc9Jxiez2wrdTTBVm1g44KpYa1dEU6Sgq,all_profit,A,4.69603298433525e-05,0.0047486527439075,46901.0439296558,101.120515118779,19.66269271933,1988.30161640092,101.120515118779,1968.63892368159,1968.28605489924,0.0,False,False,1,1,1782423392.0,1782926852.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,2,2,1,1,2026-06-25T21:36:32Z,3kQ6WcAuaGHXA8Cg1kcfC1NyYnzVYzS2oUzetnEdGQQkQHyD36XMHFe8C2YqESAVUnvUToRqRTpWWFEmp8tLN5kg,46578.29022242491,46578.29022242491,1,1,1,101.73497899534648,19.527382149722545,1986.6178128361264,1967.090430686404,101.73497899534648,1986.6178128361264,1967.090430686404,0.0,0.0,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump,UNTIL,Until,intersection,22333735.8310145,997096663,6qh47wsq5QbSePNLQYrLaQ8NfV1ftewjVPSZDmdB6U1H,all_profit,A,8.45097830702357e-06,0.0011964494892147,8426.44226901859,141.575264513509,177.97750085552,5310.39286249794,29.8374392098519,5132.41536164242,27977.99660170441,22936.77212298266,False,False,6,30,1768317399.0,1768727824.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,35,35,6,29,2026-01-13T15:16:39Z,57mz6wdnUqjsw9j2hGj9W7EAbxiEH4WrNW4oXGtiHKKkN9iNXhbJoAJx69VPvvvJUsgQjz4g6et5ywzkWNvUhAz5,8078.601982222346,6555.824141068602,6,29,29,213.7143378349033,34.84946101286223,5106.176169744243,5071.326708731382,146.5209510086729,5106.176169744243,5071.326708731382,0.0,16758713.819185,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump,UNTIL,Until,intersection,22333735.8310145,997096663,G35xr7Z16KZ1W4DLoMup5Hd2xvvM8KHHFuGzikb6hbB5,all_profit,B,1.08786927807316e-05,0.0009427458691867,10847.1082694697,86.6598485855348,213.53805183953,4553.13240621053,21.3223468463229,4339.594354371,47917.65480929268,43618.364577001,False,False,24,34,1768318782.0,1774356472.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,57,57,24,33,2026-01-13T15:39:42Z,3QdDGxprzJxWVsXmJDsexrhbMKCAJVZ5MUFskwZEdN3huRRgp3RK7JopFpcVQWmQrU8hrbhcm8Ebh2wc1xpgsZ1b,7549.504399861318,7549.504399861318,24,36,36,278.83162862462484,39.20052426503053,4404.596154657604,4365.395630392573,112.36064407910982,4404.596154657604,4365.395630392573,0.0,14895114.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
6M8sWsmxTdRaX8sMeHXKDrRe3sbAaGC3KyMgwvTSWfju,Tsuncoin,Tsundere Coin,intersection,326660058.317653,999024275,X23REkUmGPAYtj1zc77tz5ofGmTqhEP5JB3NNn2R3CG,all_profit|sniper_profit,A,2.82957315936631e-06,0.0001282887971905,2826.81227409539,45.3385687399216,81.18,3680.58501030684,45.3385687399217,3599.40501030684,3598.33355887716,0.0,False,False,1,33,1771453692.0,1771453814.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,34,34,1,33,2026-02-18T22:28:12Z,5ny7HF9AJ5bYZUqpjcNPCRu89nwq3fWVWXfDSeDY9R8cyrRgp22Sg5qWwVbsXs6Rfoosrcyc6dCszR8WX5cU1Kuh,3176.778567055811,3176.778567055811,1,33,33,53.39851114852889,91.23028311319985,3743.354256404232,3652.1239732910326,41.03192633699739,3743.354256404232,3652.1239732910326,0.0,5.3551048040390015e-09,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,intersection,11562132.0175334,954862809,21cutQKXw6opqwAcUfVVSDFbjKjs9NA94cUTfYBy4SZ6,all_profit,A,1.8094181597265e-05,0.0006223503620046,17277.4610665206,34.3950544908136,280.4426068661,10991.2203871859,39.1924055692213,10710.7777803198,8812.041860218755,0.0,False,True,3,42,1778533981.0,1778534603.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,45,45,3,42,2026-05-11T21:13:01Z,445DAUr4KUEjfttrqKLP1HwnMUYjUAvoJrEp2gohJg2qFfjLcVw9yNJCYkSDMyer3NDMiT8svaWyeBxvDDD3f1RD,14531.11199729578,14531.11199729578,3,29,17,76.05159434881104,270.1707133262987,7463.65067376893,7193.479960442631,27.62568370893223,4886.405429780798,4770.66382126752,2161775.3031380004,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,intersection,11562132.0175334,954862809,BGYDRS1JHVqCXjTGNQ79QYQs8YxSg1RPicQfpZcNdkSC,all_profit,A,3.79857410820968e-06,0.0009641790540817,3627.11714315977,253.826574555413,279.81169917336,71023.6451217036,253.826574555413,70743.8334225303,70730.1384988804,0.0,False,False,1,111,1778533791.0,1778534124.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,2,111,111,1,110,2026-05-11T21:09:51Z,38TYRs2fy3rEZFAiDfVHUBYpo29MLrRn844VFgD8aBrHEcUXz3zpMpdQ7dju5NixzGRPxwsdTkbVR39mBy5qYkCi,3627.995642952904,3627.995642952904,1,110,110,387.6399806390803,279.2364777728872,71259.68013001666,70980.44365224376,255.19473923451596,71259.68013001666,70980.44365224378,0.0,169231.13931699074,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,intersection,11562132.0175334,954862809,GEetNkwTCXTeChGjxfkGoZUHWkYBmBJhRKcQF7Fe7LDa,all_profit,A,3.15781955420204e-06,0.000384897902626,3015.28444984049,121.887237702936,97.4217593006,11874.4691333104,121.887237702936,11777.0473740098,11755.63956700574,0.0,False,False,1,103,1778533783.0,1778534052.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,2,104,104,1,103,2026-05-11T21:09:43Z,2Z1DVvMfz5JvZynV5ojELU8Vxy3ZU9pJrjpfr4Lh9e5dHMpZ3qHn6yqpARjb3d9QfTS54Eyh11xEJ2BrSGwgxC2w,3141.196984162497,3141.196984162497,1,103,103,295.4274191359468,101.4899063745175,11908.700853368584,11807.210946994066,117.33877070911034,11908.700853368584,11807.210946994066,2.9103830456733704e-10,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
8H9RDAUyYNMr6Y6nsBb8bBV45XnpW9VQfCKFbyfhpump,BEAR,Nietzschean Bear,intersection,10104520.4741564,999855578,B2VWfesGRFKEUASy1QZ8TJcNKFmkNiMX3Gjir9Nh7nxZ,all_profit,B,9.87484632272524e-06,0.0010880883626992,9873.42017766962,110.187878083249,660.75421881964,4987.68982190366,7.54847972187538,4326.93560308402,74973.40046429122,70651.54602488854,False,False,5,9,1770717325.0,1770746997.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,15,15,6,9,2026-02-10T09:55:25Z,4rp2WZ1dqKXJXQ37PvQ3X4BNkHCRzdm9ZsHZeXQCtWrkD8PKGn6PNk8cjwnALNU4BSsWFDJ9x75fKNdTmR15e62J,11322.545002864075,11322.545002864075,2,9,8,770.042567120327,51.90892723074063,5031.243908567393,4979.334981336652,96.92444396323172,5024.329365805422,4995.17241955544,0.0,148303668.62027,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
