token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
3xQPNZ3RrBvGrrgZEqaKFueeQ8FBpFKPTFe8bwVkpump,CrypTox,CryptoX,999994062,jUXjzNFKuwzMXccbjTxK9P7mNki23fuDnFwBaJEhRXe,B,ok,False,False,True,HIGH,5611271.482386404,,0.0,415539.98336769454,False
41y7bEjuidUJTZJ7mbfqzKjNcBiecYvjnyPwCb2gpump,OCCAM,Occam,999999333,21wfkdLTC3rmfF4BTYMoCMp5Fyv9cbZhQzN5aLidZanM,B,ok,True,False,True,HIGH,12920.98145660862,345.1248846197768,92.68433138913436,1428597.0287248057,False
42cXQvAAr7hcPBPWAS4ocVtDyeJ4Fa6gRR2uG4gppump,TBB,The Bitcoin Bull,999999023,GJFcrvtxJXr7esGAFDFWSMLsnt4eFFhWQhe7KvXVPCbJ,A,ok,True,True,False,MEDIUM,31028.743585089906,40.19846626065595,752.8692754043942,0.0,False
4aWgifrcupQGzjuWzq8bEcS5yZFj92PW3TBN4CSVpump,clawpump,clawpump,999991332,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,B,ok,True,False,True,HIGH,13170.936194626467,437.7146346120544,1320.83728976761,1249229.8962966865,False
4ko5tSr5o3H4v1sFtjTSd9MPUW7yx5AFCpkNPoL6pump,febu,febu,994196811,4vwuA6AKn5Ht5dzopgLX2JFYUek5xCkaDioXPo92Amns,A,ok,False,False,True,HIGH,,,0.0,0.0,False
4ko5tSr5o3H4v1sFtjTSd9MPUW7yx5AFCpkNPoL6pump,febu,febu,994196811,HeC2DERjGC8xZKKv5RWsSRmBbddxBxFADZEBrFiZhMQ6,A,ok,False,False,True,HIGH,,,0.0,0.0,False
4xyyYHkzbhpqkR6scme8soyybBtBYDPg2N6yN5cfpump,Guardians,"Eyes Up, Guardians",998737532,44vty7sMdkPLc9Jxiez2wrdTTBVm1g44KpYa1dEU6Sgq,A,ok,True,True,False,MEDIUM,46578.29022242491,101.73497899534648,1967.090430686404,0.0,False
53XyyoqydZ1f4Bbuu3teQPVBsxevZLCLxpg4KbHzpump,TST,TST,1999900626,CdMwojkmWAopG8yN2wMUzKSzfftnSnvLhXtrXmzMG1iw,A,ok,False,False,True,HIGH,,,0.0,0.0,False
59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump,UNTIL,Until,997096663,6qh47wsq5QbSePNLQYrLaQ8NfV1ftewjVPSZDmdB6U1H,A,ok,True,False,True,HIGH,6555.824141068602,213.7143378349033,5071.326708731382,22936.77212298266,False
59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump,UNTIL,Until,997096663,G35xr7Z16KZ1W4DLoMup5Hd2xvvM8KHHFuGzikb6hbB5,B,ok,True,False,True,HIGH,7549.504399861318,278.83162862462484,4365.395630392573,43618.364577001,False
